year,educ,age,exp,exp_sq,non_white,y,lny
2005,12,22,3,9,0,0.4291109,-0.846039885
2003,5,23,11,121,1,0.4302697,-0.843343058
1999,5,23,11,121,0,0.430708,-0.842324913
1998,8,36,21,441,0,0.4311712,-0.841250052
2005,10,19,2,4,0,0.4326125,-0.837912871
1996,9,50,34,1156,0,0.4328837,-0.837286178
2000,6,39,26,676,0,0.4329276,-0.837184771
2003,11,19,1,1,0,0.4348061,-0.832855094
2004,9,18,2,4,1,0.4376169,-0.826411409
1999,5,33,21,441,0,0.4391943,-0.822813367
1998,12,36,17,289,0,0.4401207,-0.820706272
2000,8,35,20,400,1,0.4452609,-0.809094876
2004,17,23,-1,1,1,0.4455043,-0.80854838
2001,13,25,5,25,0,0.4463448,-0.806663531
1999,14,40,19,361,0,0.4463749,-0.806596097
1998,10,40,23,529,0,0.4472242,-0.804695244
2003,7,49,35,1225,0,0.4500657,-0.798361707
2000,7,32,18,324,1,0.450436,-0.797539276
2003,7,27,13,169,0,0.4528028,-0.792298568
1997,12,27,8,64,0,0.4529138,-0.792053459
2001,14,19,-2,4,0,0.4540427,-0.789564033
1996,9,33,17,289,0,0.4556508,-0.786028552
2003,3,49,39,1521,0,0.4568798,-0.783334942
1999,9,22,6,36,0,0.4584359,-0.779934801
2003,11,35,17,289,0,0.4590648,-0.778563902
1998,17,26,2,4,0,0.4618151,-0.772590684
2003,12,18,-1,1,0,0.4629247,-0.770190873
1997,13,20,0,0,0,0.4671107,-0.761189004
1996,4,31,20,400,0,0.4680237,-0.759236343
1998,14,23,2,4,0,0.469715,-0.755629151
1997,7,19,5,25,0,0.4697168,-0.755625319
2000,17,23,-1,1,0,0.4706874,-0.7535611
2003,10,19,2,4,0,0.4709318,-0.753041994
2003,7,19,5,25,0,0.4713555,-0.752142693
2005,7,18,4,16,0,0.4744125,-0.745678083
1998,11,38,20,400,0,0.4776339,-0.73891074
2004,4,40,29,841,0,0.4784546,-0.737193952
2004,10,18,1,1,1,0.4784904,-0.737119131
2001,11,22,4,16,0,0.4789595,-0.736139236
2005,3,31,21,441,0,0.4797046,-0.734584781
2001,15,24,2,4,1,0.4797843,-0.734418651
1999,13,24,4,16,0,0.4816563,-0.73052449
1998,9,34,18,324,0,0.4829359,-0.727871346
1996,6,25,12,144,0,0.4849085,-0.723795066
1998,7,28,14,196,0,0.4855454,-0.722482484
1997,9,21,5,25,0,0.4883896,-0.716641831
2005,7,18,4,16,0,0.4886116,-0.716187379
2000,10,19,2,4,1,0.4892074,-0.714968749
1996,14,20,-1,1,1,0.4900514,-0.713244995
2004,8,19,4,16,0,0.4910059,-0.711299135
2000,8,31,16,256,0,0.4914084,-0.710479725
1998,12,22,3,9,0,0.4915829,-0.710124686
1997,11,36,18,324,0,0.4926705,-0.707914685
2005,9,19,3,9,1,0.4965875,-0.699995577
1999,9,35,19,361,0,0.4968467,-0.699473751
2005,16,22,-1,1,0,0.4973886,-0.698383667
1997,5,37,25,625,0,0.4975961,-0.697966575
2000,14,30,9,81,0,0.4983457,-0.696461266
2005,16,21,-2,4,0,0.4984628,-0.696226316
1996,12,36,17,289,0,0.4986109,-0.695929247
2000,11,28,10,100,0,0.5009789,-0.691191295
1999,3,20,10,100,0,0.5025447,-0.688070688
2004,8,20,5,25,0,0.5050883,-0.683022014
2004,11,21,3,9,1,0.5052617,-0.682678766
1998,15,20,-2,4,1,0.5079119,-0.677447272
1997,7,18,4,16,0,0.5105525,-0.672261806
1998,11,24,6,36,0,0.5125386,-0.668379254
2005,10,37,20,400,1,0.513406,-0.666688324
2003,1,20,12,144,1,0.514558,-0.664446999
2004,13,28,8,64,1,0.5169065,-0.659893272
1996,11,19,1,1,0,0.5179706,-0.657836795
2004,13,47,27,729,0,0.5180926,-0.657601288
2000,10,35,18,324,0,0.5184727,-0.656867905
1998,8,18,3,9,1,0.5185651,-0.656689705
1998,11,23,5,25,1,0.5192956,-0.655282001
1999,4,32,21,441,1,0.519475,-0.654936593
2004,14,25,4,16,1,0.5202031,-0.653535967
1998,12,26,7,49,0,0.520934,-0.652131925
1999,10,32,15,225,0,0.5211432,-0.651730419
2002,14,22,1,1,0,0.5219367,-0.650208963
2004,10,19,2,4,0,0.5222899,-0.649532481
1997,6,24,11,121,0,0.5228055,-0.648545777
1999,11,34,16,256,0,0.5271906,-0.640193126
2002,8,23,8,64,0,0.5304419,-0.634044846
2001,8,19,4,16,1,0.5312984,-0.632431457
2005,9,21,5,25,0,0.5346445,-0.626153239
2003,5,42,30,900,0,0.5349776,-0.625530402
2005,10,21,4,16,0,0.536561,-0.622575023
2000,12,24,5,25,0,0.5387827,-0.618442943
1998,5,40,28,784,1,0.5396214,-0.616887496
2000,13,19,-1,1,0,0.5410302,-0.614280179
2003,13,37,17,289,0,0.5414127,-0.613573444
2004,10,20,3,9,0,0.5451816,-0.606636329
2003,14,20,-1,1,1,0.5454219,-0.606195655
2000,6,48,35,1225,0,0.546285,-0.604614461
2000,9,36,20,400,0,0.5468109,-0.60365224
2003,10,49,32,1024,0,0.547084,-0.603152923
1996,11,27,9,81,0,0.5478768,-0.601704835
2003,17,22,-2,4,1,0.548045,-0.601397879
1999,13,19,-1,1,0,0.5491191,-0.599439921
2004,13,22,2,4,0,0.5502809,-0.597326404
1996,2,42,33,1089,0,0.5518632,-0.59445509
1999,14,18,-3,9,0,0.5519474,-0.594302527
1998,9,24,8,64,0,0.5525409,-0.593227821
1999,9,19,3,9,0,0.5530866,-0.592240689
1999,5,39,27,729,0,0.5531144,-0.592190427
1999,12,18,-1,1,0,0.553339,-0.591784445
2003,12,19,0,0,1,0.5536838,-0.591161513
1997,12,18,-1,1,0,0.5538725,-0.590820763
1998,12,27,8,64,0,0.5539991,-0.590592217
1998,13,20,0,0,0,0.5573354,-0.584588066
1998,13,25,5,25,0,0.5581748,-0.583083104
1999,8,18,3,9,0,0.5606461,-0.57866541
2001,13,21,1,1,1,0.5633854,-0.573791338
2000,10,44,27,729,0,0.5655261,-0.569998831
2004,17,38,14,196,1,0.566149,-0.568897985
2004,13,42,22,484,1,0.5675471,-0.566431537
2000,1,37,29,841,0,0.5675568,-0.566414447
1999,10,34,17,289,0,0.568355,-0.565009055
1996,4,33,22,484,0,0.5694506,-0.563083243
2003,8,35,20,400,1,0.5702857,-0.561617816
1996,7,50,36,1296,0,0.571645,-0.55923711
2005,9,48,32,1024,1,0.5720471,-0.558533948
1999,10,23,6,36,0,0.5728698,-0.557096813
1996,10,33,16,256,0,0.5744646,-0.554316802
1997,5,26,14,196,0,0.5752845,-0.552890578
1997,9,19,3,9,0,0.5762741,-0.551171863
2000,17,23,-1,1,0,0.5763767,-0.550993839
1996,12,18,-1,1,0,0.5782673,-0.54771906
2003,5,45,33,1089,1,0.578297,-0.547667701
2002,11,28,10,100,0,0.5790932,-0.546291847
1999,10,42,25,625,0,0.5801001,-0.544554604
2000,1,34,26,676,0,0.5812207,-0.542624732
1999,14,40,19,361,0,0.581389,-0.542335211
2004,13,22,2,4,0,0.5817106,-0.541782206
1999,11,26,8,64,0,0.5825099,-0.540409098
2005,14,41,20,400,0,0.5825543,-0.540332879
2002,6,46,33,1089,1,0.5828567,-0.53981392
2003,14,23,2,4,1,0.5845528,-0.536908169
2000,12,21,2,4,0,0.5848709,-0.53636414
