"year","educ","age","exp","income","non_white","exp_sq"
1997,16,35,12,5.42749,0,144
1998,16,36,13,9.197598,0,169
1999,13,37,17,15.30833,0,289
2000,15,39,17,0,0,289
2002,13,40,20,31.60254,0,400
2003,16,41,18,18.49773,0,324
2004,13,42,22,15.99538,0,484
2005,15,43,21,22.67317,0,441
1998,17,39,15,6.630666,0,225
2000,18,41,16,,0,256
2002,14,43,22,,0,484
1996,12,27,8,14.05368,0,64
1997,9,28,12,12.87927,0,144
1998,9,30,14,12.97622,0,196
1999,10,31,14,15.0801,0,196
2000,13,32,12,14.98032,0,144
2002,12,34,15,20.5496,0,225
2003,10,34,17,20.35381,0,289
2005,11,36,18,20.65995,0,324
1996,10,27,10,10.33834,1,100
1998,14,29,8,9.303935,1,64
1999,14,30,9,12.42762,1,81
2002,15,33,11,12.31339,1,121
2003,12,34,15,17.4411,1,225
2004,10,35,18,21.2046,1,324
2005,11,36,18,29.26205,1,324
1996,13,41,21,7.796672,0,441
1997,12,42,23,9.112403,0,529
1998,13,43,23,9.085557,0,529
1999,11,44,26,9.121737,0,676
2000,14,45,24,10.37718,0,576
2002,14,47,26,12.67562,0,676
2003,16,48,25,10.14501,0,625
1999,10,31,14,4.286136,0,196
1996,13,34,14,6.867082,1,196
1997,15,35,13,8.198068,1,169
1998,13,36,16,7.924521,1,256
1999,12,37,18,8.051433,1,324
2000,12,38,19,8.429855,1,361
2003,12,41,22,10.58748,1,484
2004,12,42,23,12.5317,1,529
1996,15,26,4,2.407179,1,16
1997,12,27,8,5.971251,1,64
1998,14,28,7,5.767903,1,49
1999,9,29,13,3.873847,1,169
2002,16,32,9,14.16537,1,81
2004,13,34,14,10.93059,1,196
1996,11,28,10,13.29752,1,100
1997,13,29,9,14.67619,1,81
1998,15,30,8,12.8997,1,64
2000,11,32,14,20.20095,1,196
2000,13,32,12,19.49917,1,144
2002,14,34,13,34.21336,1,169
1996,17,34,10,9.761893,0,100
1997,16,35,12,10.52285,0,144
1998,16,36,13,11.25529,0,169
2000,14,37,16,11.91315,0,256
2000,14,38,17,13.28845,0,289
2002,19,40,14,19.22274,0,196
2003,13,41,21,18.04754,0,441
2004,17,42,18,16.69998,0,324
2005,14,43,22,20.14276,0,484
1996,11,32,14,12.14765,0,196
1997,13,33,13,12.83963,0,169
1998,10,34,17,13.15481,0,289
1999,15,35,13,17.36278,0,169
2000,14,36,15,16.41104,0,225
2002,15,38,16,15.65173,0,256
2003,15,39,17,19.82988,0,289
2004,15,40,18,23.2244,0,324
2005,10,41,24,21.99886,0,576
1996,1,45,37,4.587661,0,1369
1997,3,46,36,4.26832,0,1296
1998,3,48,38,5.025912,0,1444
1999,2,48,39,5.353334,0,1521
2000,6,49,36,5.626522,0,1296
1997,8,44,29,1.970255,0,841
2000,8,47,32,2.662418,0,1024
2002,9,49,33,9.700706,0,1089
2003,10,50,33,8.53255,0,1089
2004,15,23,1,3.741378,0,1
2005,14,24,3,8.650513,0,9
2002,6,18,5,4.89115,0,25
2003,9,19,3,8.096219,0,9
2004,11,20,2,8.035404,0,4
2005,9,21,5,5.101619,0,25
1998,16,25,2,,0,4
2004,11,31,13,23.87462,0,169
2005,15,32,10,21.48161,0,100
1996,11,23,5,4.635314,0,25
1997,8,24,9,1.321914,0,81
1998,12,25,6,2.367627,0,36
1999,9,26,10,3.929305,0,100
2000,13,27,7,5.275042,0,49
2003,12,30,11,9.556642,0,121
2004,10,31,14,8.2643,0,196
2005,11,32,14,8.727093,0,196
1997,16,30,7,.6404764,0,49
1998,17,31,7,10.10994,0,49
2000,11,32,14,11.72285,0,196
2000,15,33,11,13.15609,0,121
2002,15,35,13,13.74604,0,169
2003,17,36,12,17.22073,0,144
2004,18,37,12,14.42855,0,144
1997,2,43,34,6.867909,0,1156
1999,11,46,28,9.445193,0,784
2000,8,46,31,11.75944,0,961
2002,7,49,35,12.15112,0,1225
2003,8,49,34,13.25878,0,1156
1996,12,42,23,5.214565,1,529
1997,12,43,24,5.531272,1,576
1998,9,44,28,6.024447,1,784
1999,12,45,26,6.267731,1,676
2000,15,46,24,9.236823,1,576
2002,10,48,31,9.860703,1,961
2003,13,49,29,11.27274,1,841
2004,11,50,32,11.39742,1,1024
1996,14,30,9,12.57541,0,81
1997,11,31,13,13.00216,0,169
1998,16,32,9,16.20564,0,81
1999,16,33,10,13.52265,0,100
2000,12,34,15,19.11134,0,225
2002,12,36,17,15.14409,0,289
2003,12,37,18,19.40193,0,324
2004,15,38,16,23.27793,0,256
2005,16,39,16,22.77417,0,256
1996,13,33,13,20.79919,0,169
1997,14,34,13,16.29044,0,169
1998,11,35,17,9.45155,0,289
1999,16,36,13,7.033754,0,169
2000,14,37,16,15.5919,0,256
2002,13,39,19,14.14107,0,361
2003,15,40,18,16.56809,0,324
1997,13,30,10,8.966615,0,100
1998,15,31,9,13.22045,0,81
1999,17,32,8,11.66746,0,64
2000,11,33,15,13.33317,0,225
2002,16,35,12,14.67421,0,144
2003,12,36,17,15.12793,0,289
2004,12,42,23,5.219671,0,529
1996,10,45,28,8.326625,0,784
1997,9,46,30,8.374616,0,900
1998,13,47,27,9.543254,0,729
1999,11,48,30,10.0255,0,900
2000,16,49,26,12.02084,0,676
1996,7,49,35,6.210448,1,1225
1997,1,50,42,6.438723,1,1764
1997,12,24,5,2.24959,1,25
1998,10,25,8,4.793243,1,64
2000,11,26,8,7.065542,1,64
2000,8,27,12,3.826248,1,144
2002,13,29,9,6.341413,1,81
2003,14,30,9,7.580454,1,81
2004,11,31,13,7.869289,1,169
1996,14,50,29,21.39641,0,841
